Participant number,Age,Gender,Phase,Phase score,Block,Word,Color,Response,Time
2,23,f,1,0.925,1,green,blue,green,1.124051094
2,23,f,1,0.925,1,yellow,green,yellow,1.391555071
2,23,f,1,0.925,1,red,purple,red,1.017986059
2,23,f,1,0.925,1,blue,yellow,yellow,1.816676855
2,23,f,1,0.925,1,blue,red,blue,1.601862907
2,23,f,1,0.925,1,purple,green,purple,1.878904104
2,23,f,1,0.925,1,green,yellow,green,0.7468340397
2,23,f,1,0.925,1,blue,purple,blue,1.023885965
2,23,f,1,0.925,1,red,green,red,1.020307064
2,23,f,1,0.925,1,red,blue,red,0.6403689384
2,23,f,1,0.925,1,yellow,blue,blue,1.238779783
2,23,f,1,0.925,1,green,purple,green,0.8853800297
2,23,f,1,0.925,1,purple,yellow,purple,0.9593510628
2,23,f,1,0.925,1,purple,blue,purple,0.7420778275
2,23,f,1,0.925,1,red,yellow,red,0.8870260715
2,23,f,1,0.925,1,yellow,purple,yellow,0.7955479622
2,23,f,1,0.925,1,blue,green,blue,0.5031208992
2,23,f,1,0.925,1,green,red,green,1.531810999
2,23,f,1,0.925,1,purple,red,purple,0.5804979801
2,23,f,1,0.925,1,yellow,red,yellow,1.950147867
2,23,f,1,0.925,2,red,green,red,2.112529039
2,23,f,1,0.925,2,blue,purple,blue,0.6601450443
2,23,f,1,0.925,2,green,blue,purple,2.555363894
2,23,f,1,0.925,2,green,purple,green,0.7652301788
2,23,f,1,0.925,2,red,blue,red,2.012078047
2,23,f,1,0.925,2,blue,green,blue,1.723863125
2,23,f,1,0.925,2,purple,red,purple,0.9465639591
2,23,f,1,0.925,2,yellow,green,blue,0.8318400383
2,23,f,1,0.925,2,red,purple,red,0.8022069931
2,23,f,1,0.925,2,green,red,green,3.002833843
2,23,f,1,0.925,2,purple,yellow,purple,1.085432053
2,23,f,1,0.925,2,green,yellow,green,0.7474188805
2,23,f,1,0.925,2,purple,green,purple,0.8788130283
2,23,f,1,0.925,2,blue,yellow,blue,1.05180192
2,23,f,1,0.925,2,red,yellow,red,1.061879873
2,23,f,1,0.925,2,purple,blue,purple,0.625138998
2,23,f,1,0.925,2,yellow,purple,yellow,1.050220013
2,23,f,1,0.925,2,blue,red,blue,0.8288719654
2,23,f,1,0.925,2,yellow,red,green,1.318339109
